mfcc_0_mean,mfcc_0_std,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,chroma_mean,chroma_var,spectral_rolloff_mean,spectral_centroid_mean,spectral_centroid_std,rms_energy_mean,rms_energy_std,zero_crossing_mean,zero_crossing_std,tonnetz_mean,user,file,augmentation
-706.9357,132.7826,50.426704,78.578384,11.216323,27.203838,12.038687,34.580048,13.519723,22.201311,-0.92159367,19.17529,-9.128061,23.196611,-3.382938,13.119378,3.766204,13.411933,-4.975698,15.411226,-8.567469,16.20327,-3.3992722,13.294614,-1.9382915,7.0813775,0.2663866,0.10754791,2915.751689189189,2024.0503677143479,1817.9674077598143,0.0022074233,0.0035366728,0.11162285332207207,0.13393886783013137,0.0245348181638817,dean,aug_pitch_shift_dean_confirm_transaction.wav,pitch_shift
-725.8499,129.13474,48.42271,80.79021,13.636439,30.426683,9.584278,35.772877,16.84679,26.044016,6.1432686,19.395754,-4.852943,21.995968,-7.299314,18.775784,2.0728583,15.622567,2.2386904,14.424792,-6.8913627,15.727673,-6.0674047,10.394491,-4.152283,11.902972,0.26517498,0.10722771,2856.2047101449275,1977.3790057205492,1842.9562101149777,0.0021845922,0.00322812,0.11652230525362318,0.17489037507853833,-0.015873725040462208,dean,aug_time_stretch_dean_confirm_transaction.wav,time_stretch
-546.67957,123.354935,46.197704,55.98353,6.635509,48.532,32.781605,72.59658,-23.736172,44.010036,-0.5825446,27.248726,-13.775091,29.65094,-7.6667666,31.511938,-16.668516,22.254992,-22.748085,18.000164,-15.37177,18.80366,-12.022258,20.944263,-6.3852468,16.993261,0.22986805,0.107386775,3145.3993055555557,1837.117700868021,1153.6881896862092,0.013108229,0.010788005,0.1386402271412037,0.12144429090862624,-0.00453120613209811,unknown,unknown1.wav,original
-568.02014,123.52868,42.764164,49.435818,13.647596,51.657272,19.11714,68.434456,-25.787281,53.033417,-2.2804873,26.946198,-17.025007,30.888903,-13.557014,25.324633,-27.133533,24.273626,-18.743235,17.092491,-13.010492,18.106081,-7.2074704,14.736371,-12.340834,19.582907,0.21667147,0.10276332,3258.6082175925926,1917.1874051561822,1201.375571496977,0.009344493,0.008430068,0.14942762586805555,0.12315978771961164,0.019123633725620797,unknown,aug_pitch_shift_unknown1.wav,pitch_shift
-599.21155,126.86618,50.8023,56.145,10.179449,51.224064,31.747501,77.46905,-20.220284,48.713165,-2.966131,28.11561,-14.999126,30.245121,-9.220994,31.94009,-18.51998,22.770193,-22.39018,18.155107,-16.559278,20.369076,-12.184444,22.937551,-6.7430987,19.91167,0.22849162,0.10378983,3065.1041666666665,1804.052794003396,1173.0725078598107,0.008622304,0.007844212,0.1484881365740741,0.13470145268494418,-0.006830132597568817,unknown,aug_time_stretch_unknown1.wav,time_stretch
-552.43823,131.2297,57.09162,67.00022,15.407093,48.291977,20.370226,42.311756,-16.579222,33.91195,-4.816973,23.396488,-19.332207,23.313696,-10.248864,19.423641,-11.075799,19.637665,-11.058121,14.689064,-10.6124735,11.564201,-8.720684,12.920041,-6.347472,13.1094885,0.2533978,0.10941438,3228.0388779527557,2057.857426841541,1792.3844233718696,0.011737213,0.011547793,0.16698834276574803,0.19879895363987665,0.0073800134231667555,unknown,unknown2.wav,original
-591.3841,135.10371,56.668144,60.50496,17.280006,55.408005,9.541503,38.028606,-23.280455,41.301983,-9.788945,24.791517,-21.70732,24.512676,-10.365595,23.70645,-14.107706,18.201916,-10.981353,16.105518,-10.495299,12.018139,-6.210414,14.898923,-7.152699,12.259239,0.20290221,0.0975478,3410.1254921259842,2360.001780050619,2042.599810907679,0.007700072,0.00774942,0.2001337967519685,0.22316441438852008,-0.009210983529484348,unknown,aug_pitch_shift_unknown2.wav,pitch_shift
-599.3608,123.14733,55.504295,64.467094,14.23213,48.27918,16.914473,43.986004,-16.606518,34.672512,-7.60083,27.778809,-17.724354,23.883408,-12.822213,20.398415,-10.621996,21.013533,-10.424139,15.117911,-10.2145605,12.377776,-7.865071,12.764547,-7.208962,13.241697,0.2503625,0.104797475,3176.8196202531644,1885.1466290879232,1684.0677163299104,0.00742912,0.008357915,0.15480987935126583,0.20262594155535368,0.00917566151673743,unknown,aug_time_stretch_unknown2.wav,time_stretch
-602.7878,160.00684,58.058014,86.39363,24.018234,40.282257,17.305466,48.116035,-6.6723,17.602915,-1.736259,13.00405,0.36038274,16.380236,-5.7011647,16.801426,-6.6744947,14.668803,-5.918605,12.986715,-2.5583243,11.102766,-1.263291,6.8493752,-4.358825,10.572327,0.23623258,0.10313319,3455.168269230769,2572.359895273538,2239.822052255374,0.013113999,0.01887755,0.28451772836538464,0.265219095000413,-0.003639305975080935,lesly,lesly_yes_approve.wav,original
-616.0134,163.2531,59.7838,84.65239,26.75936,39.093235,12.870989,43.30073,-8.684324,15.237916,-0.121594235,14.243119,-3.2732768,19.56954,-7.810762,15.616006,-7.332382,15.137431,-4.1635904,13.362723,-2.4124002,6.9767947,-3.6332698,8.952177,-2.6790874,7.7621326,0.22246632,0.09864664,3543.8701923076924,2679.6860513013758,2501.454186678928,0.009418629,0.012818801,0.32783954326923076,0.30556724162558185,0.011171498370076556,lesly,aug_pitch_shift_lesly_yes_approve.wav,pitch_shift
